Step,Loss,GradNorm,Rate
0,3.2293270864916717,4.2124638404430677,0.016666666666666666
1,2.3540871857957293,1.5025987783001789,0.033333333333333333
2,2.0892527341539799,1.5468674213215745,0.050000000000000003
3,1.7726889337688601,0.74884958065424645,0.050000000000000003
4,1.5624463585347073,0.82982121086066096,0.049847863049193725
5,1.3161759571046061,0.73014090275715848,0.049393509588046038
6,1.1864921750598234,1.2053108406735049,0.048643083967682937
7,0.96163884452098258,0.73139226430677229,0.04760673440727678
8,1.2597158760738454,15.148669593197694,0.046298475756791073
9,0.78018594094794202,1.1483409344610556,0.044735999970177007
10,0.60223037837585125,0.91855047201974882,0.042940436852046515
11,0.42189636868157554,0.56770798246401288,0.040936068313312694
12,0.32017103757456572,0.65895470616351093,0.038750000000000007
13,0.23593808449498921,0.50353679546580954,0.036411794735881034
14,0.1899528123282537,0.69860871257275625,0.033953072735999533
15,0.12316986944305271,0.30433040768085146,0.031407083997505934
16,0.087643809953416252,0.2026586953663114,0.02880825865048571
17,0.070476826651186195,0.25022945285273018,0.026191741349514297
18,0.055866260229715463,0.22964720024401269,0.023592916002494069
19,0.042366724969004781,0.13740087957373379,0.021046927264000478
20,0.033664959274327381,0.083849666968603451,0.018588205264118973
21,0.028571829362020962,0.066016292139669655,0.016250000000000007
22,0.025442596017852297,0.061991160034120918,0.014063931686687318
23,0.023344647841153365,0.061872553420540481,0.012059563147953499
24,0.02180089667778087,0.062108329354815729,0.010264000029822999
25,0.020576166487106619,0.061525872994395776,0.0087015242432089343
26,0.019560239313849166,0.059997766673525209,0.0073932655927232268
27,0.018700036448156297,0.057812929873176724,0.0063569160323170629
28,0.017962604165491277,0.055309027274273961,0.0056064904119539653
29,0.017318899868580154,0.052713135992597061,0.0051521369508062825
30,0.016739334960082453,0,0
