Order,Next,Count
1,4364,1
1,4370,1
1,4510,4
1,4513,3
1,4523,2
1,5817,1
1,7747,4
1,7749,10
1,7751,5
1,7763,1
1,7834,1
1,7841,1
1,7845,1
1,7871,1
1,7879,4
1,7893,1
1,7897,1
1,7906,1
1,7936,3
1,7940,2
1,7944,3
1,7952,1
1,7956,1
1,7960,1
1,7961,2
1,7969,1
1,7984,3
1,7985,3
1,7988,1
1,7989,1
1,8004,1
1,8016,3
1,8054,1
1,8134,1
1,8150,1
1,8172,4
1,8182,1
1,8194,3
1,8209,1
1,8211,683
1,8212,137
1,8213,35
1,8216,1418
1,8217,1473
1,8220,943
1,8221,939
1,8222,3
1,8224,14
1,8226,36
1,8228,7
1,8230,88
1,8231,1
1,8234,2
1,8236,2
1,8242,6
1,8243,2
1,8251,15
1,8309,2
1,8310,1
1,8312,2
1,8322,10
1,8323,2
1,8324,1
1,8364,3
1,8451,35
1,8467,57
1,8469,1
1,8531,6
1,8532,5
1,8544,9
1,8545,30
1,8546,15
1,8547,4
1,8548,1
1,8549,3
1,8592,34
1,8594,250
1,8596,5
1,8644,5
1,8656,2
1,8657,2
1,8680,2
1,8711,1
1,8712,2
1,8722,72
1,8723,1
1,8729,6
1,8730,3
1,8733,1
1,8734,6
1,8747,1
1,8764,92
1,8776,1
1,8800,10
1,8801,6
1,8804,1
1,8805,6
1,8810,17
1,8811,17
1,8842,7
1,8869,2
1,8901,7
1,8943,1
1,9312,12
1,9313,14
1,9314,8
1,9315,6
1,9316,5
1,9317,2
1,9318,1
1,9319,1
1,9332,2
1,9333,2
1,9334,2
1,9335,1
1,9472,177
1,9484,5
1,9488,5
1,9492,8
1,9496,8
1,9516,12
1,9524,3
1,9632,4
1,9635,1
1,9641,1
1,9651,4
1,9661,1
1,9670,9
1,9675,2
1,9679,2
1,9711,1
1,9734,9
1,9825,1
1,9829,1
1,9837,113
1,9839,86
1,10216,1
1,10217,1
1,10218,29
1,10219,29
1,11568,10
1,11571,2
1,11575,6
1,11579,2
1,11580,1
1,11593,1
1,11598,1
1,11599,1
1,11603,1
1,11604,4
1,11606,1
1,11612,7
1,11618,5
1,11619,3
1,12288,134
1,12289,31
1,12290,16
1,12293,2
1,12296,793
1,12297,792
1,12298,4854
1,12299,4851
1,12300,258
1,12301,259
1,12302,229
1,12303,226
1,12308,7
1,12309,7
1,12316,2
1,12354,7
1,12356,13
1,12358,3
1,12360,3
1,12362,6
1,12363,15
1,12364,1
1,12365,9
1,12366,1
1,12367,5
1,12368,1
1,12370,1
1,12371,15
1,12372,2
1,12373,7
1,12375,12
1,12376,1
1,12377,4
1,12378,1
1,12379,6
1,12380,1
1,12381,6
1,12383,7
1,12384,2
1,12385,11
1,12387,6
1,12388,5
1,12389,1
1,12390,10
1,12391,2
1,12392,12
1,12393,8
1,12394,12
1,12395,10
1,12397,1
1,12398,69
1,12399,7
1,12400,1
1,12402,2
1,12403,2
1,12404,2
1,12406,5
1,12409,2
1,12411,2
1,12412,1
1,12413,1
1,12414,8
1,12415,2
1,12416,1
1,12417,2
1,12418,3
1,12419,4
1,12420,2
1,12422,2
1,12423,3
1,12424,1
1,12425,12
1,12426,15
1,12427,7
1,12428,6
1,12429,1
1,12431,2
1,12434,4
1,12435,24
1,12449,3
1,12450,13
1,12451,2
1,12452,8
1,12454,1
1,12455,1
1,12456,1
1,12457,1
1,12458,3
1,12459,11
1,12460,5
1,12461,4
1,12463,9
1,12464,4
1,12465,1
1,12466,2
1,12467,8
1,12469,4
1,12470,2
1,12471,7
1,12472,6
1,12473,4
1,12474,4
1,12475,1
1,12477,1
1,12478,1
1,12479,4
1,12480,1
1,12481,8
1,12482,1
1,12483,5
1,12486,3
1,12487,1
1,12488,12
1,12489,6
1,12490,2
1,12493,5
1,12494,3
1,12495,1
1,12497,2
1,12498,1
1,12500,2
1,12501,4
1,12502,4
1,12503,1
1,12505,1
1,12507,2
1,12508,5
1,12510,8
1,12511,3
1,12512,3
1,12513,3
1,12515,8
1,12516,2
1,12518,1
1,12519,1
1,12520,3
1,12521,4
1,12522,9
1,12523,12
1,12524,1
1,12525,4
1,12527,1
1,12530,1
1,12531,26
1,12532,6
1,12534,3
1,12539,49
1,12540,13
1,12559,1
1,12578,1
1,12585,1
1,12593,9
1,12594,1
1,12596,10
1,12599,8
1,12600,2
1,12601,10
1,12609,5
1,12610,6
1,12611,2
1,12613,8
1,12615,7
1,12616,7
1,12618,4
1,12619,11
1,12620,5
1,12621,4
1,12622,11
1,12623,2
1,12624,1
1,12625,2
1,12626,1
1,12627,1
1,12629,1
1,12631,1
1,12632,1
1,12635,1
1,12636,1
1,12641,12
1,12643,2
1,12671,1
1,12673,1
1,12678,1
1,12685,109
1,12800,3
1,12801,6
1,12802,1
1,12828,2
1,13197,3
1,13199,7
1,13201,1
1,13202,6
1,13206,1
1,13212,2
1,13214,3
1,13217,6
1,13218,1
1,13222,1
1,13246,12
1,13258,2
1,13326,2
1,13762,2
1,19749,4
1,19968,114
1,19969,19
1,19971,21
1,19975,3
1,19976,6
1,19977,123
1,19978,112
1,19979,41
1,19981,50
1,19982,2
1,19985,5
1,19989,2
1,19990,118
1,19992,12
1,19993,5
1,19994,1
1,19998,4
1,20013,233
1,20018,1
1,20024,7
1,20025,3
1,20027,157
1,20029,1
1,20035,3
1,20037,16
1,20043,35
1,20046,7
1,20047,2
1,20048,1
1,20056,8
1,20057,17
1,20061,23
1,20062,8
1,20063,22
1,20077,1
1,20081,1
1,20083,3
1,20094,18
1,20096,3
1,20098,4
1,20102,4
1,20104,1
1,20105,3
1,20107,56
1,20108,54
1,20110,13
1,20113,5
1,20114,1
1,20116,56
1,20117,22
1,20124,2
1,20126,15
1,20129,3
1,20132,8
1,20133,1
1,20134,4
1,20135,1
1,20136,14
1,20139,10
1,20140,103
1,20141,4
1,20142,1
1,20154,137
1,20155,1
1,20160,4
1,20161,72
1,20167,41
1,20170,368
1,20171,14
1,20175,1
1,20180,2
1,20181,1
1,20182,1
1,20184,1
1,20185,22
1,20195,118
1,20196,24
1,20197,9
1,20206,3
1,20208,6
1,20210,9
1,20214,11
1,20219,2
1,20225,1
1,20234,19
1,20238,14
1,20239,5
1,20240,30
1,20241,17
1,20250,19
1,20253,2
1,20271,13
1,20276,7
1,20284,2
1,20285,15
1,20294,2
1,20301,32
1,20302,7
1,20303,9
1,20304,11
1,20305,1
1,20307,4
1,20309,9
1,20313,13
1,20315,45
1,20316,30
1,20319,1
1,20320,8
1,20329,1
1,20339,5
1,20350,3
1,20351,28
1,20358,18
1,20363,11
1,20365,6
1,20374,1
1,20379,2
1,20381,3
1,20385,1
1,20399,9
1,20405,3
1,20406,6
1,20415,2
1,20418,6
1,20420,3
1,20426,18
1,20430,1
1,20436,1
1,20439,10
1,20440,1
1,20445,79
1,20449,33
1,20462,17
1,20463,1
1,20465,3
1,20467,2
1,20474,1
1,20482,2
1,20489,4
1,20491,7
1,20493,2
1,20498,3
1,20505,4
