Key,Value
Lines,200000
Chars,8233046
Grams,8433046
Distinct1,5534
Once1,1155
Contexts1,1
Distinct2,136127
Once2,47819
Contexts2,5534
Distinct3,698438
Once3,341163
Contexts3,135259
Distinct4,1941781
Once4,1192683
Contexts4,687463
Distinct5,3377252
Once5,2487500
Contexts5,1911722
Distinct6,4545006
Once6,3688208
Contexts6,3329580
